Cluster,Layer,Correlation,p_value
Cluster_11,2,0.01483180861594223,0.9336502513383574
Cluster_11,3,-0.01162079850321247,0.9479925604758562
Cluster_11,4,0.0036697258431197277,0.9835666140686381
Cluster_11,5,-0.06651378090654506,0.708593172376536
Cluster_11,6,-0.2750765329905162,0.11536942355061786
Cluster_11,7,-0.1732416408439438,0.32717783682445745
Cluster_11,8,-0.08241592622673052,0.6430935413524594
Cluster_11,9,-0.08883794645219006,0.6173399993131959
Cluster_11,10,-0.05993885543762221,0.7363198979775034
Cluster_11,11,0.018960250189451924,0.9152408500711822
Cluster_11,12,0.08776760974794681,0.6216023398524694
Cluster_12,0,-0.09096971380939152,0.48940171140893673
Cluster_12,1,-0.19327590997499308,0.13897826600958366
Cluster_12,2,-0.2058905251458739,0.114511970425465
Cluster_12,3,-0.13103639899972216,0.31829717871333757
Cluster_12,4,-0.08374548485690471,0.5246702558755765
Cluster_12,5,-0.03667685468185608,0.7808473111899538
Cluster_12,6,-0.0002778549597110309,0.99831887490005
Cluster_12,7,0.14531814392886916,0.26792925718531196
Cluster_12,8,0.2336204501250348,0.07241521151860858
Cluster_12,9,0.2811892192275633,0.029526603282093142
Cluster_12,10,0.28157821617115875,0.02929290037776956
Cluster_12,11,0.3210336204501251,0.012384620587935853
Cluster_12,12,-0.1279244234509586,0.330025088567907
Cluster_13,0,-0.032060400481453116,0.8484624603426111
Cluster_13,1,-0.1953167742641427,0.23993344179875042
Cluster_13,2,-0.2132618448407922,0.19859399723411578
Cluster_13,3,-0.22420396104606627,0.17598604091478667
Cluster_13,4,-0.2765072765072765,0.09285826207329159
Cluster_13,5,-0.17671517671517672,0.28853693504905004
Cluster_13,6,-0.18984571616150564,0.2536147390651332
Cluster_13,7,-0.03906335485282854,0.8158798954120041
Cluster_13,8,-0.05109968267863005,0.7606128544232551
Cluster_13,9,0.10296531349162928,0.5384514215230425
Cluster_13,10,-0.028777765619870888,0.8638247904543573
Cluster_13,11,0.00010942116205274099,0.9994797919617004
Cluster_13,12,0.03643724696356275,0.8280657322185684
Cluster_14,0,0.10454785827604442,0.4226378654979108
Cluster_14,1,0.008619777895293494,0.9474327169889482
Cluster_14,2,0.07530407191961924,0.5640771720134644
Cluster_14,3,0.05452141723955579,0.6764391569348622
Cluster_14,4,0.02564780539397144,0.8444505829753308
Cluster_14,5,-0.001586462189317821,0.9903184416685054
Cluster_14,6,-0.008514013749338972,0.9480768209183006
Cluster_14,7,-0.039555790586991005,0.7621430680357797
Cluster_14,8,-0.17588577472236908,0.1751342599881915
Cluster_14,9,-0.1838180856689582,0.1561673994375564
Cluster_14,10,-0.1929666842940243,0.13622890559584533
Cluster_14,11,-0.2031729243786356,0.11631467184320113
Cluster_14,12,-0.01723955579058699,0.8950875390719437
Cluster_15,0,-0.19198717948717947,0.12856052299827905
Cluster_15,1,-0.2284340659340659,0.06944067360969507
Cluster_15,2,-0.231043956043956,0.06623034092590262
Cluster_15,3,-0.16620879120879117,0.18931273729415468
Cluster_15,4,0.009844322344322342,0.9384610766591326
Cluster_15,5,0.04107142857142857,0.7472772802750498
Cluster_15,6,-0.04194139194139194,0.7421081221044297
Cluster_15,7,-0.08992673992673991,0.479772476749722
Cluster_15,8,-0.023305860805860803,0.8549573409091362
Cluster_15,9,0.04395604395604395,0.7301812705469564
Cluster_15,10,0.06034798534798534,0.6357133284343295
Cluster_15,11,0.11781135531135531,0.353849017908503
Cluster_15,12,-0.14468864468864467,0.2539905232122134
Cluster_16,0,-0.17931738931351487,0.09458869990568738
Cluster_16,1,-0.2424359832341235,0.02285809897467241
Cluster_16,2,-0.1858687612271495,0.0829507765825442
Cluster_16,3,-0.13921665316473533,0.19580206603394307
Cluster_16,4,-0.13808953541615304,0.19948180927582798
Cluster_16,5,-0.13160860836180482,0.22160547292774607
Cluster_16,6,-0.144799408263182,0.17829519047974182
Cluster_16,7,-0.10771018984889578,0.31785591744029174
Cluster_16,8,-0.03666654925856786,0.7344901549395848
Cluster_16,9,-0.004490859779507591,0.9668766909327879
Cluster_16,10,0.002483181289845374,0.9816811684591764
Cluster_16,11,0.058891902363425036,0.5857333854960508
Cluster_16,12,-0.05632066499947167,0.6022313606842802
Cluster_17,0,0.06732348111658455,0.7335650843023231
