Cluster,Layer,Correlation,p_value
Cluster_31,5,-0.037401335492652024,0.7585425669190305
Cluster_31,6,-0.11601939774487142,0.3388474772273049
Cluster_31,7,-0.24218983647511397,0.043383227822194385
Cluster_31,8,-0.05712585823491633,0.6385498489967962
Cluster_31,9,0.032220804231152256,0.7911686355438243
Cluster_31,10,0.060223675914934764,0.6204272925126579
Cluster_31,11,0.30435621161311116,0.01041727469249072
Cluster_31,12,-0.3244482720462252,0.006140107718901578
Cluster_32,0,-0.19719169719169719,0.3241927875833248
Cluster_32,1,-0.2490842490842491,0.2102433159723478
Cluster_32,2,-0.1343101343101343,0.5041917954419018
Cluster_32,3,-0.18315018315018314,0.3605001915341338
Cluster_32,4,-0.15018315018315015,0.45463836072603103
Cluster_32,5,-0.28083028083028083,0.15591973215219065
Cluster_32,6,-0.31868131868131866,0.10520583172423688
Cluster_32,7,-0.326007326007326,0.09701103452115782
Cluster_32,8,-0.3388278388278388,0.0838355171278552
Cluster_32,9,-0.32112332112332115,0.10241894889497619
Cluster_32,10,-0.1746031746031746,0.38372518421581236
Cluster_32,11,-0.12271062271062269,0.542018678436784
Cluster_32,12,0.09584859584859586,0.6343774555480928
Cluster_33,0,-0.20307617880635495,0.14472785169725214
Cluster_33,1,0.0709174108636844,0.6138316041374202
Cluster_33,2,0.008829399078537171,0.9499676266679948
Cluster_33,3,0.06454734212209137,0.6461006433536023
Cluster_33,4,0.21315540149874898,0.12540814378865314
Cluster_33,5,0.3465236761645068,0.011026152420708066
Cluster_33,6,0.29116858513787874,0.03440759716447344
Cluster_33,7,0.24125627436514352,0.08180643215351373
Cluster_33,8,0.262422642019171,0.05765288199801683
Cluster_33,9,-0.1339730280273015,0.3388692102799068
Cluster_33,10,0.025883443874067873,0.8540355736680664
Cluster_33,11,-0.03443062471721801,0.8066467296345772
Cluster_33,12,0.1325619368503663,0.3440271989898809
Cluster_34,0,-0.2241671372106155,0.3159085603715587
Cluster_34,1,-0.29983060417843027,0.17520277793847736
Cluster_34,2,-0.3122529644268775,0.1571359244482707
Cluster_34,3,-0.29644268774703564,0.1803683737593558
Cluster_34,4,-0.32467532467532473,0.14041381301499198
Cluster_34,5,-0.41276115189158674,0.0562442455275732
Cluster_34,6,-0.4421230942970074,0.03937489110637283
Cluster_34,7,-0.31789949181253535,0.14937063985267568
Cluster_34,8,-0.1225296442687747,0.5869771640200256
Cluster_34,9,-0.1101072840203275,0.6256982903977764
Cluster_34,10,-0.1202710333145116,0.593940770339139
Cluster_34,11,0.033314511575381144,0.8829914722792039
Cluster_34,12,0.0028232636928289105,0.9900512231067919
Cluster_35,0,-0.023673469387755098,0.8703723399762502
Cluster_35,1,0.2252581032412965,0.11576095922209767
Cluster_35,2,0.14266506602641055,0.3229830159785233
Cluster_35,3,0.1266266506602641,0.3808813693262312
Cluster_35,4,0.05853541416566627,0.686370453265255
Cluster_35,5,0.2049939975990396,0.15326872362494956
Cluster_35,6,0.11346938775510206,0.4326911145065587
Cluster_35,7,0.19951980792316923,0.16478810671305238
Cluster_35,8,0.04345738295318128,0.7644369371593014
Cluster_35,9,-0.05027611044417767,0.7287915934144178
Cluster_35,10,0.030684273709483793,0.8324717662389532
Cluster_35,11,-0.0857142857142857,0.5539492757656788
Cluster_35,12,0.31937575030012,0.02377312425605407
Cluster_36,0,-0.1137290047019141,0.44655775388906604
Cluster_36,1,-0.009135324221099353,0.9514042773807436
Cluster_36,2,0.01844410396538414,0.9020660099530355
Cluster_36,3,0.04602353215186763,0.7587002685215771
Cluster_36,4,0.029313983418337797,0.844925656820878
Cluster_36,5,0.03943222227082126,0.7924299075371152
Cluster_36,6,0.0056662137573907385,0.9698472585278716
Cluster_36,7,-0.03729293748486761,0.8034617300423229
Cluster_36,8,0.06562400627182131,0.6612022762107703
Cluster_36,9,0.03174236074293383,0.8322567437020619
Cluster_36,10,0.04486716199729809,0.7645876957074702
Cluster_36,11,0.11899048890520551,0.4256674296413019
Cluster_36,12,-0.05851232982121864,0.6960385246065033
Cluster_37,0,-0.13897912417214375,0.2813504484774777
Cluster_37,1,-0.0905794364281937,0.48383384510345107
Cluster_37,2,-0.04847523356248898,0.7082952534649218
Cluster_37,3,-0.024451663267104833,0.8503730093303159
Cluster_37,4,-0.023897660597819243,0.8537254042585849
Cluster_37,5,-0.025811488000805825,0.8421556912591279
Cluster_37,6,0.014529979098990205,0.9107546605163402
Cluster_37,7,-0.039208279821711864,0.7622253737953912
Cluster_37,8,-0.05104379139281308,0.6935834228416093
Cluster_37,9,-0.04983505829618998,0.7004930125504059
Cluster_37,10,-0.00012590969756490645,0.9992250649143412
Cluster_37,11,-0.010349777139835311,0.9363662261746686
Cluster_37,12,-0.05189997733625445,0.6887040729526617
Cluster_38,0,-0.1767698668701143,0.012728595439785358
Cluster_38,1,-0.17346616175787413,0.014525919440587625
Cluster_38,2,-0.1596917057213463,0.02462242853311632
Cluster_38,3,-0.1678203353330257,0.01811420386863734
Cluster_38,4,-0.10392139129735743,0.14511835950530533
Cluster_38,5,-0.03694599748473177,0.6053229175766381
Cluster_38,6,-0.07437355984661037,0.297715195510422
Cluster_38,7,-0.0555933026152142,0.4366185380573747
Cluster_38,8,0.08985011196576638,0.2080859963823521
